sample,sample_code,year,state,field,city,lat,lon,cultivar,crop_system,previous_crop,substrate,FCSC,FFSC,FGSC,FIESC,n_isolates,Complex,n_complex,MON,DON,AcDON,DON_total,HT-2,T-2,NEO,ZEA,ENN B,ENN B1,ENN A1,ENN A,BEA,FUM B1,FUM B2
KR26,15GO039,2015,GO (29),39,Brazabrantes,-16.42875,-49.385889,Irga 422 CL,Irrigated,rice,kernel,1,0,0,0,1,FCSC,1,NA,0.001,14.1,14.101,2.8,NA,0.001,12.7,NA,NA,0.001,NA,28.6,NA,NA
KR43,16MT001,2016,MT (11),1,Alta Floresta,-9.87646,-56.085509,AN Cambará,High lands,NA,kernel,0,0,0,0,0,None,0,0.001,8.1,57.5,65.6,5.7,0.6,0.001,12.5,NA,NA,NA,NA,38.5,0.001,NA
KR37,15MT002,2015,MT (11),2,Sinop,-11.84806,-55.649167,BRS Primavera,High lands,Brachiaria ruziziensis,kernel,2,1,0,5,8,FCSC+FFSC+FIESC,3,NA,0.001,49.6,49.601,NA,NA,0.5,7.3,NA,NA,NA,NA,16.7,NA,NA
KR16,15GO026,2015,GO (29),26,Brazabrantes,-16.42875,-49.385889,BR Irga 409,Irrigated,rice,kernel,1,0,0,3,4,FCSC+FIESC,2,NA,NA,88,88,2.1,NA,0.001,5.6,NA,NA,NA,NA,56.6,NA,NA
KR86,16SC003,2016,SC (9),3,Itajaí,-26.96632,-48.766553,SCS 112,Irrigated,rice,kernel,0,11,3,0,14,FFSC+FGSC,2,NA,NA,46.3,46.3,0.001,NA,0.001,4.9,NA,NA,NA,NA,0.001,NA,0.001
KR08,15GO010,2015,GO (29),10,Brazabrantes,-16.42875,-49.385889,BRS MG Predileta,Irrigated,rice,kernel,0,0,0,5,5,FIESC,1,NA,0.001,144.8,144.801,3.9,NA,0.5,4.8,NA,0.5,0.001,NA,30.6,NA,NA
KR07,15GO008,2015,GO (29),8,Brazabrantes,-16.42875,-49.385889,AN Cambará,High lands,soybean,kernel,0,1,0,1,2,FFSC+FIESC,2,NA,NA,68.3,68.3,0.4,NA,0.85,4.6,3.1,1.45,NA,NA,29.3,NA,NA
KR89,16SC006,2016,SC (9),6,Nova Veneza,-28.66945,-49.585605,SCS BRS Tio Taca,Irrigated,rice,kernel,0,4,7,0,11,FFSC+FGSC,2,6.2,NA,19,19,NA,0.6,0.5,3.7,NA,NA,0.001,NA,1.2,NA,NA
KR27,15GO040,2015,GO (29),40,Brazabrantes,-16.42875,-49.385889,Irga 417,Irrigated,rice,kernel,1,0,0,0,1,FCSC,1,NA,0.001,17.1,17.101,1.9,NA,0.7,3.4,NA,NA,0.001,NA,77.4,0.001,NA
KR21,15GO031,2015,GO (29),31,Brazabrantes,-16.42875,-49.385889,Irga 410,Irrigated,rice,kernel,1,0,0,5,6,FCSC+FIESC,2,NA,0.001,122.9,122.901,2.1,NA,1.7,2.4,NA,0.001,NA,NA,93.4,NA,0.001
KR41,15MT009,2015,MT (11),9,União do Sul,-11.53278,-54.352778,AN Cambará,High lands,NA,kernel,0,1,0,2,3,FFSC+FIESC,2,NA,NA,25.7,25.7,0.001,NA,NA,2.3,NA,NA,NA,NA,1.8,NA,NA
KR52,15RS011,2015,RS (28),11,Alegrete,-29.79583,-55.788229,NA,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,NA,147.3,147.3,4.8,NA,1.85,2.3,0.001,NA,NA,NA,1,NA,2.2
KR90,16SC007,2016,SC (9),7,Nova Veneza,-28.66825,-49.586552,SCS 121 CL,Irrigated,rice,kernel,1,10,5,4,20,FCSC+FFSC+FGSC+FIESC,4,NA,7.8,20.4,28.2,1.9,NA,0.5,1.9,NA,NA,NA,NA,2.1,NA,NA
KR35,16MA004,2016,MA (3),4,Paraibano,-6.43278,-43.983889,Caiapo,High lands,NA,kernel,0,1,0,2,3,FFSC+FIESC,2,NA,0.001,39.1,39.101,11.7,NA,1.15,1.9,NA,NA,0.001,NA,0.001,NA,NA
KR73,15RS048,2015,RS (28),48,Santa Vitória do Palmar,-33.52588,-53.372174,NA,Irrigated,rice,kernel,1,0,1,0,2,FCSC+FGSC,2,NA,0.001,13.9,13.901,3.2,NA,0.001,1.7,NA,NA,NA,NA,4.8,NA,0.001
KR95,16SP002,2016,SP (5),2,Roseira,-22.900797 ,-45.308995,Epagri 117,Irrigated,rice,kernel,0,0,0,1,1,FIESC,1,NA,NA,19.6,19.6,NA,NA,NA,1.7,NA,NA,NA,NA,9.5,NA,0.001
KR80,16RS006,2016,RS (28),6,Pelotas,-31.63725,-52.188264,Irga 424 RI,Irrigated,rice,kernel,1,0,3,0,4,FCSC+FGSC,2,NA,0.001,59.2,59.201,2.1,NA,0.7,1.6,NA,NA,NA,NA,41.3,NA,0.001
KR72,15RS047,2015,RS (28),47,Arroio Grande,-32.23316,-53.086694,NA,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,8.7,18.7,27.4,4.7,NA,NA,1.6,NA,NA,NA,NA,4,NA,NA
KR22,15GO035,2015,GO (29),35,Brazabrantes,-16.42875,-49.385889,Irga 425,Irrigated,rice,kernel,1,1,0,0,2,FCSC+FFSC,2,NA,NA,82.3,82.3,0.7,NA,0.001,1.5,NA,NA,NA,NA,10.3,NA,NA
KR91,16SC008,2016,SC (9),8,Nova Veneza,-28.72970,-49.597313,SCS 116 Satoru,Irrigated,rice,kernel,0,4,9,2,15,FFSC+FGSC+FIESC,3,NA,NA,29.2,29.2,NA,NA,NA,1.5,0.001,NA,NA,NA,7.8,NA,NA
KR79,16RS005,2016,RS (28),5,São Sepé,-29.95517,-53.704804,Irga 424,Irrigated,rice,kernel,0,0,9,2,11,FGSC+FIESC,2,NA,0.001,10.9,10.901,2.3,NA,0.001,1.4,NA,NA,NA,NA,10.6,NA,NA
KR01,15GO001,2015,GO (29),1,Brazabrantes,-16.42875,-49.385889,BRS Esmeralda,High lands,soybean,kernel,0,0,0,8,8,FIESC,1,NA,0.001,75.9,75.901,NA,NA,0.75,1.4,NA,NA,NA,NA,4.3,NA,NA
KR33,16MA001,2016,MA (3),1,Paraibano,-6.43278,-43.983889,Caiapo,High lands,NA,kernel,0,0,0,1,1,FIESC,1,NA,NA,65,65,5.5,NA,0.5,1.4,NA,0.001,NA,NA,3.4,NA,NA
KR85,16SC002,2016,SC (9),2,Itajaí,-27.03179,-48.857191,SCS 121 CL,Irrigated,rice,kernel,0,1,2,1,4,FFSC+FGSC+FIESC,3,NA,NA,36.9,36.9,0.6,NA,0.001,1.4,NA,NA,NA,NA,1,NA,NA
KR78,16RS004,2016,RS (28),4,Palma,-29.75933,-53.529534,Irga 424,Irrigated,rice,kernel,1,0,10,3,14,FCSC+FGSC+FIESC,3,NA,NA,44.3,44.3,3.4,NA,0.6,1.3,NA,NA,NA,NA,6.6,NA,NA
KR20,15GO030,2015,GO (29),30,Brazabrantes,-16.42875,-49.385889,Irga 424,Irrigated,rice,kernel,1,0,0,1,2,FCSC+FIESC,2,NA,0.001,132.5,132.501,1.1,NA,0.6,1.3,NA,NA,NA,0.001,6.1,NA,NA
KR71,15RS046,2015,RS (28),46,Arroio Grande,-32.23316,-53.086694,NA,Irrigated,rice,kernel,0,0,0,2,2,FIESC,1,NA,0.001,25,25.001,0.9,NA,0.001,1.3,NA,NA,NA,NA,3.4,NA,NA
KR44,16MT002,2016,MT (11),2,Tangará da Serra,-14.61889,-57.485833,Sertaneja,High lands,NA,kernel,0,0,0,1,1,FIESC,1,0.001,0.001,33.8,33.801,1.7,NA,0.001,1.3,NA,NA,NA,NA,1.6,NA,NA
KR45,16MT003,2016,MT (11),3,Alta Floresta,-9.87646,-56.085509,AN Cambará,High lands,NA,kernel,0,0,0,2,2,FIESC,1,1.9,NA,44.7,44.7,5.8,NA,0.001,1.3,NA,NA,NA,NA,1.6,NA,NA
KR87,16SC004,2016,SC (9),4,Garuva,-26.06544,-48.847647,SCS BRS Tio Taca,Irrigated,rice,kernel,0,5,1,0,6,FFSC+FGSC,2,NA,0.001,15.4,15.401,4.8,NA,0.001,1.3,NA,0.001,NA,NA,0.1,NA,NA
KR92,16SC009,2016,SC (9),9,Nova Veneza,-28.72970,-49.597313,Epagri 109,Irrigated,rice,kernel,1,1,6,0,8,FCSC+FFSC+FGSC,3,NA,NA,41.7,41.7,0.001,NA,0.001,1.2,NA,NA,NA,NA,2.8,NA,NA
KR05,15GO005,2015,GO (29),5,Brazabrantes,-16.42875,-49.385889,BRS Esmeralda,High lands,soybean,kernel,0,0,0,2,2,FIESC,1,NA,NA,45.3,45.3,0.5,NA,0.001,1.2,0.001,NA,NA,NA,21.4,NA,NA
KR99,15TO001,2015,TO (7),1,Formoso do Araguaia,-11.81659,-49.518927,NA,High lands,rice,kernel,0,0,0,2,2,FIESC,1,NA,NA,9,9,NA,NA,0.6,1.2,NA,NA,NA,NA,7.9,NA,0.001
KR83,16RS010,2016,RS (28),10,Arambaré,-30.89048,-51.698051,Irga 424,Irrigated,rice,kernel,0,0,2,0,2,FGSC,1,NA,0.001,81,81.001,2.1,NA,0.001,1.2,NA,NA,NA,NA,4.5,NA,NA
KR77,16RS003,2016,RS (28),3,Santa Maria,-29.70447,-53.709104,Irga 424 RI,Irrigated,pasture,kernel,1,0,2,3,6,FCSC+FGSC+FIESC,3,NA,NA,14.7,14.7,6.2,NA,0.001,1.1,NA,NA,NA,NA,8.7,NA,NA
KR32,15GO046,2015,GO (29),46,Brazabrantes,-16.42875,-49.385889,BRS Querência,Irrigated,rice,kernel,2,0,0,0,2,FCSC,1,NA,0.001,86.5,86.501,0.001,NA,0.001,1.1,NA,NA,NA,NA,7,NA,0.001
KR98,16SP005,2016,SP (5),5,Roseira,-22.900797 ,-45.308995,Epagri 109,Irrigated,rice,kernel,1,0,0,0,1,FCSC,1,0.001,NA,6.6,6.6,0.001,NA,0.001,1.1,NA,NA,NA,NA,3.9,NA,NA
KR19,15GO029,2015,GO (29),29,Brazabrantes,-16.42875,-49.385889,SCS 114 Andosan,Irrigated,rice,kernel,2,0,0,0,2,FCSC,1,NA,NA,41.9,41.9,1.4,NA,0.5,1.1,0.001,NA,NA,NA,3.8,0.001,NA
KR23,15GO036,2015,GO (29),36,Brazabrantes,-16.42875,-49.385889,BRS Pampa,Irrigated,rice,kernel,4,0,0,0,4,FCSC,1,NA,7.3,94.6,101.9,1.3,NA,0.001,1,NA,NA,NA,NA,21.4,NA,NA
KR59,15RS018,2015,RS (28),18,Itaqui,-29.12500,-56.552778000000004,NA,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,12.2,51.5,63.7,10.7,NA,0.001,1,NA,NA,NA,NA,11.1,NA,NA
KR10,15GO018,2015,GO (29),18,Brazabrantes,-16.42875,-49.385889,BRS Taim,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,NA,50.8,50.8,3.1,NA,0.001,1,NA,NA,NA,NA,8.8,NA,0.001
KR15,15GO024,2015,GO (29),24,Brazabrantes,-16.42875,-49.385889,Epagri 109,Irrigated,rice,kernel,1,0,0,0,1,FCSC,1,NA,0.001,58,58.001,NA,NA,0.001,1,NA,NA,NA,NA,7.4,NA,NA
KR63,15RS033,2015,RS (28),33,Camaquã,-30.85070,-51.814601,NA,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,5.3,19.4,24.7,1.4,NA,0.001,1,NA,NA,0.001,NA,5.6,NA,NA
KR53,15RS012,2015,RS (28),12,Maçambará,-29.14278,-56.065,NA,Irrigated,rice,kernel,0,0,1,1,2,FGSC+FIESC,2,NA,NA,53.4,53.4,6.7,NA,1.4,1,NA,NA,0.001,0.001,4.9,NA,2.9
KR69,15RS043,2015,RS (28),43,Santa Vitória do Palmar,-33.52588,-53.372174,NA,Irrigated,rice,kernel,0,0,0,1,1,FIESC,1,NA,NA,115.6,115.6,1.8,NA,0.001,1,NA,NA,NA,NA,4.1,NA,NA
KR51,15RS009,2015,RS (28),9,Camaquã,-30.85070,-51.814601,NA,Irrigated,rice,kernel,0,0,0,0,0,None,0,0.001,0.001,153,153.001,0.001,NA,0.001,1,NA,NA,0.001,NA,3.7,NA,NA
KR57,15RS016,2015,RS (28),16,Quaraí,-30.38778,-56.450833,NA,Irrigated,rice,kernel,0,2,0,0,2,FFSC,1,NA,16.3,116.4,132.7,4.1,0.6,0.5,1,NA,NA,NA,NA,3.7,NA,NA
KR42,15MT010,2015,MT (11),10,União do Sul,-11.53278,-54.352778,BRS Sertaneja,High lands,NA,kernel,0,0,0,0,0,None,0,NA,NA,14,14,0.6,NA,0.8,1,NA,NA,NA,NA,2.9,0.001,NA
KR55,15RS014,2015,RS (28),14,Uruguaiana,-29.75500,-57.087778,NA,Irrigated,rice,kernel,0,0,0,1,1,FIESC,1,NA,NA,122.6,122.6,8,NA,1,1,NA,NA,0.001,NA,2.4,NA,3.4
KR34,16MA003,2016,MA (3),3,Paraibano,-6.43278,-43.983889,Caiapo,High lands,NA,kernel,0,1,0,1,2,FFSC+FIESC,2,NA,NA,21.1,21.1,6.5,NA,2.2,1,NA,NA,NA,NA,0.001,NA,NA
KR29,15GO042,2015,GO (29),42,Brazabrantes,-16.42875,-49.385889,BRS Firmeza,Irrigated,rice,kernel,2,2,0,1,5,FCSC+FFSC+FIESC,3,NA,0.001,61.4,61.401,0.001,NA,0.5,0.9,NA,NA,NA,NA,36.6,NA,NA
KR105,16TO008,2016,TO (7),8,Formoso do Araguaia,-11.86172,-48.250222,IRGA 424,Irrigated,NA,kernel,0,0,0,1,1,FIESC,1,NA,NA,1.2,1.2,NA,NA,NA,0.9,NA,NA,NA,NA,9.8,NA,NA
KR56,15RS015,2015,RS (28),15,Uruguaiana,-29.75500,-57.087778,NA,Irrigated,rice,kernel,0,2,0,0,2,FFSC,1,NA,0.001,124.6,124.601,2.8,NA,0.8,0.9,NA,NA,0.001,NA,8.4,NA,0.001
KR11,15GO019,2015,GO (29),19,Brazabrantes,-16.42875,-49.385889,SCS BRS Tio Taka,Irrigated,rice,kernel,0,3,0,2,5,FFSC+FIESC,2,NA,0.001,50.4,50.401,1.9,NA,0.001,0.9,NA,NA,NA,NA,6.5,0.001,NA
KR18,15GO028,2015,GO (29),28,Brazabrantes,-16.42875,-49.385889,SCS 118 Marques,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,NA,98.2,98.2,1.1,NA,NA,0.9,NA,NA,NA,NA,6.1,NA,NA
KR75,16RS001,2016,RS (28),1,Glorinha,-29.90466,-50.783363,Irga 424,Irrigated,pasture,kernel,2,0,0,2,4,FCSC+FIESC,2,NA,0.001,10.6,10.601,1.5,NA,0.45,0.9,NA,NA,NA,NA,2.2,NA,NA
KR30,15GO043,2015,GO (29),43,Brazabrantes,-16.42875,-49.385889,BRS Chuí,Irrigated,rice,kernel,1,0,0,0,1,FCSC,1,NA,7.8,37.9,45.7,NA,NA,NA,0.8,NA,NA,NA,NA,18.7,NA,NA
